RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
424,1192,,DingDong,+1,13,7,65%,20,2023/03/24
425,1191,,Garzet,-3,9,5,64%,14,2023/04/10
426,1191,,silentbreacher,+3,16,12,57%,28,2023/04/12
427,1190,,Jackatm,+2,18,10,64%,28,2023/04/02
428,1190,,lp,+3,14,7,67%,21,2023/04/16
429,1190,,Etiyen,+3,71,58,55%,129,2023/04/16
430,1189,,Chacineiro,+1,11,4,73%,15,2023/04/04
431,1189,,SaGesH,+5,13,5,72%,18,2023/03/23
432,1189,,Paprikadose.MJ,+1,14,7,67%,21,2023/04/10
433,1188,,Cenovis,+6,14,5,74%,19,2023/04/15
434,1188,,Seraniah,+1,86,67,56%,153,2023/04/16
435,1188,,SShaker,-1,9,5,64%,14,2023/04/06
436,1187,,Dandru,-1,14,8,64%,22,2023/03/26
437,1187,,Birdy,+1,22,12,65%,34,2023/04/15
438,1187,,pooterin,+1,75,52,59%,127,2023/03/28
439,1186,,zhuk0v,+3,33,20,62%,53,2023/04/16
440,1186,,DR4GU,+2,13,7,65%,20,2023/03/27
441,1186,,CommieKillerz,-1,10,7,59%,17,2023/03/30
442,1186,,Seekup,+1,9,4,69%,13,2023/03/31
443,1185,,tubagznyven,+2,22,11,67%,33,2023/04/14
444,1185,,Lady Rytsu,+3,17,12,59%,29,2023/03/22
445,1185,,ohio,+5,17,10,63%,27,2023/03/26
446,1185,,VictorEX,+2,7,3,70%,10,2023/04/08
447,1184,,Sheotek,-1,10,4,71%,14,2023/03/26
448,1184,,ChiefRedSkins,-1,29,20,59%,49,2023/04/15
449,1183,,Thermidor,-3,20,10,67%,30,2023/03/30
450,1182,,maxcov4,+2,19,12,61%,31,2023/03/22
451,1182,,Lukyboom,-1,13,6,68%,19,2023/04/13
